,query,category,intent,sentiment
17274,"I'm not happy with the service, what can I do to make a complaint?",,,
17275,where do i file a complaint for a service?,,,
17276,"im discontent with the service, how can i lodge a complaint?",,,
17277,how to lodge a complaint,,,
17278,can i lodge a consumer complaint?,,,
17279,how can I file a complaint for a service?,,,
17280,"I do not like the service and I would like to make a consumer complaint, please",,,
17281,I don't like the service and I want to make a complaint,,,
17282,"I want to file a consumer complaint for a service, what can I do?",,,
17283,"im not happy with the service, can i submit a consumer complaint?",,,
17284,"I'm discontent with the service, file a consumer complaint",,,
17285,"im discontent with the service, can u file a complaint?",,,
17286,"im not happy with the service, i need help making a complaint",,,
17287,"I don't like the service, how can  I submit a consumer complaint?",,,
17288,"ask an agent where i can lodge a fucking complaint for a service, please",,,
17289,"please, could u ask an agent how i could make a consumer complaint?",,,
17290,where do I file a consumer complaint for a service?,,,
17291,"I'm discontent with the service, can I lodge a complaint?",,,
17292,"I want to make a consumer complaint, what do I have to do?",,,
17293,"I don't like the service, what do I have to do to make a complaint?",,,
17294,"I'm discontent with the service, I need help submitting a consumer complaint",,,
17295,"please, could u ask an agent where i could file a complaint?",,,
17296,"I want to make a consumer complaint , what can I do ?",,,
17297,"I'm not happy with the service, what do I have to do to file a complaint?",,,
17298,i dont like the service and i wanna lodge a consumer complaint,,,
17299,"I'm not happy with the service, help me make a consumer complaint",,,
17300,how do I lodge n consumer complaint?,,,
17301,"I'm discontent with the service, how could I submit a complaint?",,,
17302,"im not happy with the service, lodge a complaint",,,
17303,"I don't like the service, can I make a complaint?",,,
17304,"i want to make a complaint for a service, what should i do?",,,
17305,"I don't like the service, what should I do to lodge a consumer complaint?",,,
17306,"I'm not happy with the service, I need help filing a complaint",,,
17307,I need help making a complaint for a service,,,
17308,how do i make a complaint?,,,
17309,how to make a consumer complaint,,,
17310,can i file a ocmplaint for a service?,,,
17311,"im not happy with the service, what should i do to lodge a consumer complaint?",,,
17312,"I'm not happy with the service, what do I have to do to file a consumer complaint?",,,
17313,"I'm discontent with the service, can I file a complaint?",,,
17314,"I don't like the service, help me submit a consumer complaint",,,
17315,"I'm not happy with the service, I need help filing a complaint, please",,,
17316,"I'm not happy with the service, I need help lodgnig an consumer complaint",,,
17317,ask an agent how i can file a complaint,,,
17318,"i want to make a consumer complaint for a service, can u help me?",,,
17319,"I'm discontent with the service, what can I do to submit a complaint?",,,
17320,where do I lodge a complaint?,,,
17321,"I don't like the service, how can I make a complaint?",,,
17322,"I'm discontent with the service, what should I do to file a consumer complaint?",,,
17323,"I want to make a complaint for a service,what do I have to do?",,,
17324,"I don't like the service, I need help submitting a complaint",,,
17325,how to file a complaint,,,
17326,help me file a complaint for a service,,,
17327,"I'm discontent with the servbice, what do I have to do to make a complaint?",,,
17328,"I'm not happy with the service, can I lodge a consumer complaint?",,,
17329,"I don't like the service, what can I do to submit a complaint?",,,
17330,I'm discontent with the service and I want to  submit a consumer complaint,,,
17331,"I'm discontent with the service, what should I do to make a complaint?",,,
17332,can I file a complaint for a service?,,,
17333,"I'm discontent with he service, I need help filing a consumer complaint",,,
17334,"i want to make a complaint, can u help me?",,,
17335,"I want to lodge a consumer complaint, what can I do?",,,
17336,"i wanna submit a fucking complaint, could u help me?",,,
17337,"I'm discontent with the service, help me make a complaint",,,
17338,I'm discontent with the service and I want to submit a complaint,,,
17339,"I'm not happoy with the service, file a cosumer complaint, please",,,
17340,"I don't like the service, I need help lodging a consumer complaint",,,
17341,"I don't like the service, what do I have to do to file a complaint?",,,
17342,can i make a complaint for a service?,,,
17343,"I'm not happy with the service, help me submit a consumer complaint",,,
17344,where to file a consumer complaint for a service,,,
17345,"I want to file a complaint for a sevrice , what can I do?",,,
17346,"im not happy with the service , what can i do to submit an complaint?",,,
17347,"I want to file a consumer complaint, what should I do?",,,
17348,"i want to file an consumer complaint for a service, can u help me?",,,
17349,"I'm not happy with the service, what do I have to do to submit a consumer complaint?",,,
17350,ask an agent where to file a fucking complaint,,,
17351,"I'm discontent with the service, can you fioe a complaint?",,,
17352,"could you ask an agent if I can lodge a complaint for a service, please?",,,
17353,"I'd like to lodge a complaint, what do I have to do?",,,
17354,"I don't like the service, could you file a consumer complaint, please?",,,
17355,"i want to lodge a complaint, can u help me?",,,
17356,"I'm not happy with the service, help me file a consumer complaint",,,
17357,how can I make a complaint for a srrvice?,,,
17358,"I'm discontent with the service, what can I do to file a consumer complaint?",,,
17359,"i dont like the service, how do i submit a complaint?",,,
17360,"I'm discontent with the service, what should I do to file a complaint?",,,
17361,"im not happy with the service and i want to submit a fucking complaint, please",,,
17362,"I want to submit a complaint for a service, can you help me?",,,
17363,where do i lodge a consumer complaint for a service?,,,
17364,"im not happy with the service, what do i have to do to submit a consumer complaint?",,,
17365,"I don't like the service, can you file a complaint?",,,
17366,"I don't like the service, what should I do to submit a complaint?",,,
17367,"I want to lodge an complaint, can you help me?",,,
17368,"I'm discontent with the service, help me file a consmuer complaint",,,
17369,"i dont like the service, can i submit a consumer complaint?",,,
17370,"I'm discontent with the service, can you make a consumer complaint?",,,
17371,how can I lodge a consumer complaint for a service?,,,
17372,"im not happy with the service, lodge a consumer complaint",,,
17373,"I want to file a consumer complaint for a service, what do I have to do?",,,
17374,"I'm not happy with the service, how can I submit a consumer complaint?",,,
17375,"I want to make a complaint, what should I do?",,,
17376,"I don't like the service, can you lodgea consumer complaint?",,,
17377,where to lodge a consumer complaint,,,
17378,"I dn't like the service, make a consumer complaint",,,
17379,"im discontent with the service, submit a consumer complaint",,,
17380,can u ask an agent where to lodge a consumer complaint for a service?,,,
17381,"I don't like the service, help me file a complaint",,,
17382,ask an agent where to file aconsumer complaint for a service,,,
17383,can I lodge a complaint?,,,
17384,help me make a consumer complaint for a service,,,
17385,"I'm not happy with the service, what do I have to do to lodge a complaint?",,,
17386,"i dont like the service, what should i do to file a complaint?",,,
17387,I'm not happy with the service and I want to submit a complaint,,,
